ACI,AutoDESK,Berechnet,Ermittelt,Color Name,RGB
64,"0.3750,0.5000,0.0000","95,127,0","115,154,0",lime-medium,"rgb(95, 127, 0)"
65,"0.4375,0.5000,0.2500","111,127,63","132,154,74",lime-soft,"rgb(111, 127, 63)"
66,"0.2250,0.3000,0.0000","57,76,0","90,125,0",lime-deep,"rgb(57, 76, 0)"
67,"0.2625,0.3000,0.1500","66,76,38","107,125,57",lime-pale,"rgb(66, 76, 38)"
68,"0.1125,0.1500,0.0000","28,38,0","57,77,0",lime-dark,"rgb(28, 38, 0)"
69,"0.1313,0.1500,0.0750","33,38,19","66,77,33",lime-dusky,"rgb(33, 38, 19)"
70,"0.5000,1.0000,0.0000","127,255,0","123,255,0",chartreuse,"rgb(127, 255, 0)"
71,"0.7500,1.0000,0.5000","191,255,127","189,255,123",chartreuse-light,"rgb(191, 255, 127)"
72,"0.3250,0.6500,0.0000","82,165,0","99,207,0",chartreuse-strong,"rgb(82, 165, 0)"
73,"0.4875,0.6500,0.3250","124,165,82","156,207,99",chartreuse-muted,"rgb(124, 165, 82)"
74,"0.2500,0.5000,0.0000","63,127,0","74,154,0",chartreuse-medium,"rgb(63, 127, 0)"
75,"0.3750,0.5000,0.2500","95,127,63","115,154,74",chartreuse-soft,"rgb(95, 127, 63)"
76,"0.1500,0.3000,0.0000","38,76,0","57,125,0",chartreuse-deep,"rgb(38, 76, 0)"
77,"0.2250,0.3000,0.1500","57,76,38","90,125,57",chartreuse-pale,"rgb(57, 76, 38)"
78,"0.0750,0.1500,0.0000","19,38,0","33,77,0",chartreuse-dark,"rgb(19, 38, 0)"
79,"0.1125,0.1500,0.0750","28,38,19","57,77,33",chartreuse-dusky,"rgb(28, 38, 19)"
80,"0.2500,1.0000,0.0000","63,255,0","57,255,0",emerald,"rgb(63, 255, 0)"
81,"0.6250,1.0000,0.5000","159,255,127","156,255,123",emerald-light,"rgb(159, 255, 127)"
82,"0.1625,0.6500,0.0000","41,165,0","49,207,0",emerald-strong,"rgb(41, 165, 0)"
83,"0.4063,0.6500,0.3250","103,165,82","123,207,99",emerald-muted,"rgb(103, 165, 82)"
84,"0.1250,0.5000,0.0000","31,127,0","33,154,0",emerald-medium,"rgb(31, 127, 0)"
85,"0.3125,0.5000,0.2500","79,127,63","90,154,74",emerald-soft,"rgb(79, 127, 63)"
86,"0.0750,0.3000,0.0000","19,76,0","24,125,0",emerald-deep,"rgb(19, 76, 0)"
87,"0.1875,0.3000,0.1500","47,76,38","74,125,57",emerald-pale,"rgb(47, 76, 38)"
88,"0.0375,0.1500,0.0000","9,38,0","16,77,0",emerald-dark,"rgb(9, 38, 0)"
89,"0.0938,0.1500,0.0750","23,38,19","41,77,33",emerald-dusky,"rgb(23, 38, 19)"
90,"0.0000,1.0000,0.0000","0,255,0","0,255,0",green,"rgb(0, 255, 0)"
91,"0.5000,1.0000,0.5000","127,255,127","123,255,123",green-light,"rgb(127, 255, 127)"
92,"0.0000,0.6500,0.0000","0,165,0","0,207,0",green-strong,"rgb(0, 165, 0)"
93,"0.3250,0.6500,0.3250","82,165,82","99,207,99",green-muted,"rgb(82, 165, 82)"
94,"0.0000,0.5000,0.0000","0,127,0","0,154,0",green-medium,"rgb(0, 127, 0)"
95,"0.2500,0.5000,0.2500","63,127,63","74,154,74",green-soft,"rgb(63, 127, 63)"
96,"0.0000,0.3000,0.0000","0,76,0","0,125,0",green-deep,"rgb(0, 76, 0)"
97,"0.1500,0.3000,0.1500","38,76,38","57,125,57",green-pale,"rgb(38, 76, 38)"
98,"0.0000,0.1500,0.0000","0,38,0","0,77,0",green-dark,"rgb(0, 38, 0)"
99,"0.0750,0.1500,0.0750","19,38,19","33,77,33",green-dusky,"rgb(19, 38, 19)"
100,"0.0000,1.0000,0.2500","0,255,63","0,255,57",viridian,"rgb(0, 255, 63)"
101,"0.5000,1.0000,0.6250","127,255,159","123,255,156",viridian-light,"rgb(127, 255, 159)"
102,"0.0000,0.6500,0.1625","0,165,41","0,207,49",viridian-strong,"rgb(0, 165, 41)"
